Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,Manufacturer's Payload Name,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,Site,LV S/N,Ref,International Designator,Tag,Data Mismatch Investigation Results
1957 Dec 6 1644:35,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,Vanguard,Vanguard Test Satellite,1957-F01,1957-F01,F00002,2,CC       LC18A,TV-3,Vang-ER9948,1957-001B,,
1957 Nov 3 0230:42,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8K71PS,S,2-y ISZ,PS-2,1957 BET 1,1957 BET,S00003,3,NIIP-5   LC1,M1-2PS,Grahn-WWW,1957-002A,,
1957 Oct 4 1928:34,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8K71PS,S,1-y ISZ,PS-1,1957 ALP 2,1957 ALP,S00002,2,NIIP-5   LC1,M1-PS,Energiya,1957-001B,,
1958 Apr 27 0901:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8A91,F,[ISZ],D-1 No. 1,1958-F03,1958-F03,F00008,8,NIIP-5   LC1,B1-2,NezavB,1958-004B,,
1958 Apr 29 0253:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,Vanguard,X-ray satellite,1958-F04,1958-F04,F00011,11,CC       LC18A,TV-5,Vang-ER10300,1959-001A,,
1958 Aug 12 0000:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 2,Diagnostic Payload 2,1958-F08,1958-F08,F00021,21,"F4D-1 747,NOTS RW  -> DZSB",2,NOTS,1959-008A,,
1958 Aug 17 1218:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Able I,F,Able I (Pioneer),Able 1,1958-F09,1958-F09,F00023,23,CC       LC17A,127,NASA-5-25-59W-V3,1959-009B,Moon,
1958 Aug 22 0000:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 3,Diagnostic Payload 3,1958-F10,1958-F10,F00027,27,"F4D-1 747,NOTS RW  -> DZSB",3,NOTS,1960-001A,,
1958 Aug 24 0617:22,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,F,Explorer 5,Explorer 5,1958-F11,1958-F11,F00029,29,CC       LC5,RS/CC-47 HN,JunoFam,1960-002B,,
1958 Aug 25 0000:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 4,Radiation Payload 1,1958-F12,1958-F12,F00032,32,"F4D-1 747,NOTS RW  -> DZSB",4,NOTS,1960-004A,,
1958 Aug 26 0000:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 5,Radiation Payload 2,1958-F13,1958-F13,F00035,35,"F4D-1 747,NOTS RW  -> DZSB",5,NOTS,1960-005B,,
1958 Aug 28 0000:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 6,Radiation Payload 3,1958-F14,1958-F14,F00038,38,"F4D-1 747,NOTS RW  -> DZSB",6,NOTS,1960-005E,,
1958 Dec 18 2302:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas B,S,SCORE,SCORE,1958 ZET,1958 ZET,S00010,10,CC       LC11,10B,AP,1958-006A,,
1958 Dec 4 0000:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,[AMS Luna] E-1 No. 3,E-1 No. 3,1958-F20,1958-F20,F00054,54,NIIP-5   LC1,B1-5,AVMNLJ,1960-010A,Moon,
1958 Dec 6 0544:52,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,S,Pioneer 3,Pioneer 3,1958 THE,1958 THE,S00111,111,CC       LC5,AM-11,JPL32-31-2,1958-008A,Moon,
1958 Feb 1 0347:56,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,S,Explorer 1,Explorer 1,1958 ALP,1958 ALP,S00004,4,CC       LC26A,RS-29    UE,JunoFam,1958-001A,,
1958 Feb 5 0733:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,Vanguard,Vanguard Test Satellite,1958-F01,1958-F01,F00004,4,CC       LC18A,TV-3BU,Vang-ER9955,1958-001A,,
1958 Jul 25 0000:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 1,Diagnostic Payload 1,1958-F07,1958-F07,F00018,18,"F4D-1 747,NOTS RW  -> DZSB",1,NOTS,1959-005A,,
1958 Jul 26 1500:57,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,S,Explorer 4,Explorer 4,1958 EPS,1958 EPS,S00009,9,CC       LC5,RS/CC-44 TT,JunoFam,1958-005A,,
1958 Jun 26 0500:52,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,Vanguard,X-ray satellite,1958-F06,1958-F06,F00015,15,CC       LC18A,SLV-2,Vang-ER10302,1959-004A,,
1958 Mar 17 1215:41,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,S,Vanguard I,Vanguard Test Satellite,1958 BET 2,1958 BET,S00005,5,CC       LC18A,TV-4,SP-4202,1958-002B,,
1958 Mar 26 1738:03,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,S,Explorer 3,Explorer 3,1958 GAM,1958 GAM,S00006,6,CC       LC5,RS-24    UT,JunoFam,1958-003A,,
1958 Mar 5 1827:57,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,F,Explorer 2,Explorer 2,1958-F02,1958-F02,F00006,6,CC       LC26A,RS/CC-26 UV,JunoFam,1958-003A,,
1958 May 15 0700:35,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8A91,S,3-y Sovetskiy ISZ,D-1 No. 2,1958 DEL 2,1958 DEL,S00008,8,NIIP-5   LC1,B1-1,NezavB,1958-004B,,
1958 May 28 0346:20,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,Vanguard,Lyman Alpha satellite,1958-F05,1958-F05,F00013,13,CC       LC18A,SLV-1,Vang-ER10301,1959-002A,,
1958 Nov 8 0730:21,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Able I,F,Pioneer 2,Able 3,1958-F19,1958-F19,F00051,51,CC       LC17A,129,NASA-5-25-59W-V3,1960-009C,Moon,
1958 Oct 11 0000:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,[AMS Luna] E-1 No. 2,E-1 No. 2,1958-F17,1958-F17,F00044,44,NIIP-5   LC1,B1-4,AVMNLJ,1960-006B,Moon,
1958 Oct 11 0842:13,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Able I,F,Pioneer 1,Able 2,1958 ETA,1958 ETA,S00110,110,CC       LC17A,130,NASA-5-25-59W-V3,1958-007A,Moon,
1958 Oct 23 0321:04,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,F,Beacon,Beacon,1958-F18,1958-F18,F00048,48,CC       LC5,RS/CC-49 HE,JPL-FOM-59-10,1960-008A,,
1958 Sep 23 0000:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,[AMS Luna] E-1 No. 1,E-1 No. 1,1958-F15,1958-F15,F00040,40,NIIP-5   LC1,B1-3,AVMNLJ,1960-005G,Moon,
1958 Sep 26 1538:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,Vanguard,Cloud cover satellite,1958-U01,1958-U01,F00042,42,CC       LC18A,SLV-3,Vang-ER10303,1960-005J,,
1959 Apr 13 2118:39,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 2,CORONA BIO 1,1959 GAM,1959 GAM,S00014,14,V        75-3-4,170/FTV 1018,NRO3E24,1959-003A,,
1959 Apr 14 0249:46,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,Vanguard,Magnetometer satellite,1959-F01,1959-F01,F00056,56,CC       LC18A,SLV-5,Vang-ER10589,1960-011B,,
1959 Aug 13 1900:08,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 5,CORONA C-2,1959 EPS 1,1959 EPS,S00018,18,V        75-3-4,192/FTV 1029,NRO3E24,1959-005A,,
1959 Aug 15 0031:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,F,Beacon,Beacon,1959-F07,1959-F07,F00074,74,CC       LC26B,AM-19B,JPL32-31-3,1960-016C,,
1959 Aug 19 1924:44,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 6,CORONA C-3,1959 ZET,1959 ZET,S00019,19,V        75-3-5,200/FTV 1028,NRO3E24,1959-006A,,
