Launch Date and Time (UTC),Launch Date Only (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Nation of Ownership,Official Payload Name,Manufacturer's Payload Name,Inclination degrees,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,LV S/N,Site,Ref,International Designator,Decay Date,Orbital Period minutes,Apogee Altitude kilometers,Perigee Altitude kilometers,Radar Cross Section meters2
1957 Dec  6 1644:35,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,,Vanguard,Vanguard Test Satellite,,1957-F01,1957-F01,F00002,2,TV-3,CC       LC18A,Vang-ER9948,1957-001B,,,,,
1957 Nov  3 0230:42,11/3/1957,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8K71PS,S,CIS,2-y ISZ,PS-2,65.3,1957 BET 1,1957 BET,S00003,3,M1-2PS,NIIP-5   LC1,Grahn-WWW,1957-002A,4/14/1958,103.7,1659,211,0.08
1957 Oct  4 1928:34,10/4/1957,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8K71PS,S,CIS,1-y ISZ,PS-1,65,1957 ALP 2,1957 ALP,S00002,2,M1-PS,NIIP-5   LC1,Energiya,1957-001B,1/3/1958,96.1,945,227,N/A
1958 Apr 27 0901,,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8A91,F,,[ISZ],D-1 No. 1,,1958-F03,1958-F03,F00008,8,B1-2,NIIP-5   LC1,NezavB,1958-004B,,,,,
1958 Apr 29 0253:00,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,,Vanguard,X-ray satellite,,1958-F04,1958-F04,F00011,11,TV-5,CC       LC18A,Vang-ER10300,1959-001A,,,,,
1958 Aug 12,,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,,NOTS 2,Diagnostic Payload 2,,1958-F08,1958-F08,F00021,21,2,"F4D-1 747,NOTS RW  -> DZSB",NOTS,1959-008A,,,,,
1958 Aug 17 1218,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Able I,F,,Able I (Pioneer),Able 1,,1958-F09,1958-F09,F00023,23,127,CC       LC17A,NASA-5-25-59W-V3,1959-009B,,,,,
1958 Aug 22,,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,,NOTS 3,Diagnostic Payload 3,,1958-F10,1958-F10,F00027,27,3,"F4D-1 747,NOTS RW  -> DZSB",NOTS,1960-001A,,,,,
1958 Aug 24 0617:22,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,F,,Explorer 5,Explorer 5,,1958-F11,1958-F11,F00029,29,RS/CC-47 HN,CC       LC5,JunoFam,1960-002B,,,,,
1958 Aug 25,,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,,NOTS 4,Radiation Payload 1,,1958-F12,1958-F12,F00032,32,4,"F4D-1 747,NOTS RW  -> DZSB",NOTS,1960-004A,,,,,
1958 Aug 26,,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,,NOTS 5,Radiation Payload 2,,1958-F13,1958-F13,F00035,35,5,"F4D-1 747,NOTS RW  -> DZSB",NOTS,1960-005B,,,,,
1958 Aug 28,,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,,NOTS 6,Radiation Payload 3,,1958-F14,1958-F14,F00038,38,6,"F4D-1 747,NOTS RW  -> DZSB",NOTS,1960-005E,,,,,
1958 Dec  4,,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,,[AMS Luna] E-1 No. 3,E-1 No. 3,,1958-F20,1958-F20,F00054,54,B1-5,NIIP-5   LC1,AVMNLJ,1960-010A,,,,,
1958 Dec  6 0544:52,12/6/1958,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,S,US,Pioneer 3,Pioneer 3,,1958 THE,1958 THE,S00111,111,AM-11,CC       LC5,JPL32-31-2,1958-008A,12/7/1958,,,,N/A    NIE
1958 Dec 18 2302,12/18/1958,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas B,S,US,SCORE,SCORE,32.3,1958 ZET,1958 ZET,S00010,10,10B,CC       LC11,AP,1958-006A,1/21/1959,98.2,1187,159,N/A
1958 Feb  1 0347:56,2/1/1958,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,S,US,Explorer 1,Explorer 1,33.2,1958 ALP,1958 ALP,S00004,4,RS-29    UE,CC       LC26A,JunoFam,1958-001A,3/31/1970,88.5,215,183,N/A
1958 Feb  5 0733,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,,Vanguard,Vanguard Test Satellite,,1958-F01,1958-F01,F00004,4,TV-3BU,CC       LC18A,Vang-ER9955,1958-001A,,,,,
1958 Jul 25,,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,,NOTS 1,Diagnostic Payload 1,,1958-F07,1958-F07,F00018,18,1,"F4D-1 747,NOTS RW  -> DZSB",NOTS,1959-005A,,,,,
1958 Jul 26 1500:57,7/26/1958,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,S,US,Explorer 4,Explorer 4,50.3,1958 EPS,1958 EPS,S00009,9,RS/CC-44 TT,CC       LC5,JunoFam,1958-005A,10/23/1959,92.8,585,239,N/A
